Kirk Cousins,MIN,"$28,500,000",28500000
Brian O'Neill,MIN,"$22,930,876",22930876
Justin Jefferson,MIN,"$19,743,000",19743000
Harrison Smith,MIN,"$19,215,882",19215882
Danielle Hunter,MIN,"$14,906,667",14906667
T.J. Hockenson,MIN,"$14,041,176",14041176
Byron Murphy,MIN,"$10,911,765",10911765
Harrison Phillips,MIN,"$8,833,334",8833334
Marcus Davenport,MIN,"$6,800,000",6800000
Josh Oliver,MIN,"$6,174,000",6174000
Garrett Bradbury,MIN,"$5,769,882",5769882
Alexander Mattison,MIN,"$4,600,000",4600000
Dean Lowry,MIN,"$4,482,353",4482353
Christian Darrisaw,MIN,"$4,246,501",4246501
C.J. Ham,MIN,"$3,266,666",3266666
Lewis Cine,MIN,"$3,134,770",3134770
Jordan Addison,MIN,"$3,120,849",3120849
Andrew Booth Jr.,MIN,"$2,265,226",2265226
Nick Mullens,MIN,"$2,230,000",2230000
Josh Metellus,MIN,"$2,225,000",2225000
Ed Ingram,MIN,"$1,635,811",1635811
Patrick Jones II,MIN,"$1,549,576",1549576
Brian Asamoah,MIN,"$1,496,412",1496412
Andrew DePaola,MIN,"$1,341,666",1341666
Kene Nwangwu,MIN,"$1,243,199",1243199
Camryn Bynum,MIN,"$1,234,453",1234453
Mekhi Blackmon,MIN,"$1,205,473",1205473
Akayleb Evans,MIN,"$1,175,269",1175269
Jay Ward,MIN,"$1,078,386",1078386
Ty Chandler,MIN,"$1,059,711",1059711
A.J. Green,MIN,"$1,055,000",1055000
Jalen Nailor,MIN,"$1,030,165",1030165
Jaquelin Roy,MIN,"$999,943",999943
Ryan Wright,MIN,"$986,668",986668
Trishton Jackson,MIN,"$985,000",985000
William Kwenkeu,MIN,"$985,000",985000
Joejuan Williams,MIN,"$985,000",985000
Myles Gaskin,MIN,"$985,000",985000
N'Keal Harry,MIN,"$985,000",985000
Jaren Hall,MIN,"$984,818",984818
Andre Carter II,MIN,"$928,333",928333
Ivan Pace Jr.,MIN,"$921,666",921666
Malik Knowles,MIN,"$920,000",920000
Lucky Jackson,MIN,"$915,000",915000
NaJee Thompson,MIN,"$915,000",915000
Jaylin Williams,MIN,"$915,000",915000
Coy Cronk,MIN,"$915,000",915000
Abraham Beauplan,MIN,"$795,000",795000
Henry Byrd,MIN,"$795,000",795000
DeWayne McBride,MIN,"$795,000",795000
Tyrese Robinson,MIN,"$795,000",795000
Thayer Thomas,MIN,"$795,000",795000
Daylen Baldwin,MIN,"$795,000",795000
