T.J. Watt,PIT,"$30,418,694",30418694
Cameron Heyward,PIT,"$22,406,250",22406250
Minkah Fitzpatrick,PIT,"$21,355,000",21355000
Diontae Johnson,PIT,"$15,833,334",15833334
Alex Highsmith,PIT,"$13,933,000",13933000
Larry Ogunjobi,PIT,"$13,283,333",13283333
Allen Robinson,PIT,"$11,917,500",11917500
Chukwuma Okorafor,PIT,"$11,833,334",11833334
James Daniels,PIT,"$11,166,668",11166668
Isaac Seumalo,PIT,"$10,191,666",10191666
Patrick Peterson,PIT,"$9,775,000",9775000
Cole Holcomb,PIT,"$7,640,000",7640000
Mitchell Trubisky,PIT,"$7,556,666",7556666
Mason Cole,PIT,"$6,271,668",6271668
Nate Herbig,PIT,"$5,460,000",5460000
Chris Boswell,PIT,"$4,720,000",4720000
Elandon Roberts,PIT,"$4,667,500",4667500
Najee Harris,PIT,"$4,151,460",4151460
Damontae Kazee,PIT,"$3,875,000",3875000
Kenny Pickett,PIT,"$3,836,701",3836701
Broderick Jones,PIT,"$3,778,719",3778719
Keanu Neal,PIT,"$2,710,000",2710000
Joey Porter Jr.,PIT,"$2,185,988",2185988
Pat Freiermuth,PIT,"$1,918,057",1918057
George Pickens,PIT,"$1,841,506",1841506
Keeanu Benton,PIT,"$1,666,619",1666619
DeMarvin Leal,PIT,"$1,414,608",1414608
Dan Moore Jr.,PIT,"$1,229,475",1229475
Darnell Washington,PIT,"$1,216,798",1216798
Isaiahh Loudermilk,PIT,"$1,135,072",1135072
Calvin Austin III,PIT,"$1,111,084",1111084
Nick Herbig,PIT,"$1,083,231",1083231
Pressley Harvin,PIT,"$1,075,183",1075183
Denzel Mims,PIT,"$1,055,000",1055000
Connor Heyward,PIT,"$1,023,806",1023806
Mark Robinson,PIT,"$1,013,089",1013089
Jaylen Warren,PIT,"$989,000",989000
Dez Fitzpatrick,PIT,"$985,000",985000
Jonathan Marshall,PIT,"$985,000",985000
Marquez Callaway,PIT,"$985,000",985000
Kyron Johnson,PIT,"$985,000",985000
Luq Barcoo,PIT,"$985,000",985000
Josiah Scott,PIT,"$985,000",985000
Thomas Graham Jr.,PIT,"$985,000",985000
Spencer Anderson,PIT,"$934,446",934446
Ryan McCollum,PIT,"$915,000",915000
Devery Hamilton,PIT,"$915,000",915000
Jalen Elliott,PIT,"$915,000",915000
Kalon Barnes,PIT,"$915,000",915000
Rodney Williams II,PIT,"$915,000",915000
Darius Rush,PIT,"$915,000",915000
Trenton Thompson,PIT,"$915,000",915000
Cory Trice,PIT,"$816,109",816109
Keilahn Harris,PIT,"$795,000",795000
Alfonzo Graham,PIT,"$795,000",795000
Jack Colletto,PIT,"$795,000",795000
Kellen Diesch,PIT,"$795,000",795000
Joey Fisher,PIT,"$795,000",795000
Anderson Hardy,PIT,"$795,000",795000
Duece Watts,PIT,"$795,000",795000
Tyler Beach,PIT,"$795,000",795000
Aaron Shampklin,PIT,"$795,000",795000
Jacob Slade,PIT,"$795,000",795000
David Perales,PIT,"$795,000",795000
Tyler Murray,PIT,"$795,000",795000
